Title,Text,TextSource,Mode,Melody,MelodySources_OCO,gabc,GB_ID,Occasion,Variant,LHymPage
- cum alleluia,Dominum loquentem in evangelio venite adoremus alleluia alleluia.,,6*,ffg f f f fg f f f gh h gf f f g fe f gh ihig gf fgh ghffed fghgh gf,LHym 365,"(c4)Dó(f_0fg)mi(f)num(f') lo(f)quén(fg~)tem(f') in(f) e(f)van(gh)gé(h)li(gf)o,(f.) (,) ve(f)ní(g)te,(fe) ad(f)o(g_h)ré(ixh_i_g_)mus,(g.f.) (;) al(f!gw!h>)le(ghffvED)lú(fgwhgh>)ia.(g.f.) (::) Ve(f_h)ní(j)te,(j) (::)",0,25/4,,365
Dominum qui fecit nos,Dominum qui fecit nos venite adoremus.,"Ps 94,6",6,f f fg g gf g gh h gf gh ghgf fg g f,LHym179,"(c4)Dó(f)mi(f)num(fg) qui(g) fe(gf)cit(g) nos,(g.h.) (;) ve(h)ní(gf)te,(gh) ad(g_h_G_F_)o(fg)ré(g.)mus.(f.) (::) Ve(h)ní(g)te,(h) (::)",0,1-4H4,,179
Domum Dei,Domum Dei decet sanctitudo: sponsum eius Christum adoremus in ea.,"Ps 92,5 [... sanctitudo]",7,gji j kjklkl lk k lmn nmml kj jkljji ghijghggf fhijjk j jk kjijihghg ijklkjij ji i jk klkjih j gfg ghg g,LHym 248,"(c3)Do(-ehg)mum(h) De(i_h_iwjij)i(j.i.) (,) de(i)cet(jkwl) san(lkkj)cti(ih)tú(h!ijhhg)do:(e_f!gwh_e_fveed.) (;) spon(d_f!gwhh!i>)sum(h) e(hi~)ius(ivH_G_hv_G_FEf_e_) Chri(gh!ijIHGh)stum(h.g.) (,) ad(g)o(hi)ré(ijvIHGF)mus(h.) in(ede) e(e_f_e_)a.(e.) (::) Ve(i)ní(i!jki)te,(hhg) (::)",0,Ded,,248
Ecce venit,Ecce venit ad templum sanctum suum dominator Dominus: gaude et lætare Sion occurrens Deo tuo.,"cf. Mal 3,1 [... Dominus]",4,d dfd e efgfeefded fd dfe f g fd e efgfeefded d dh h g e efgff edefe c de e e f fd dgfgh g c de efed fg gfghighg egff fe,LHym 345,"(c4)Ec(d)ce(-dfd) ve(e)nit(e/fgf/eeofded.) (,) ad(fd~) tem(-dfe~)plum(f) san(g)ctum(fd~) su(e)um(e/fgf/eeofded.) (;) do(d)mi(dh)ná(h)tor(g>') Dó(e)mi(e!fgff)nus:(ed/efe.) (;) gau(c)de(de) et(e) læ(e)tá(fsss)re,(fd) Si(-dgfghv)on,(g.) (;) oc(c)cúr(de)rens(efED) De(f_g)o(gvfghvig/h_g_) tu(egff)o.(f.e.) (::) Ve(e)ní(g)te,(h) (::)",0,2/2,,345
Exsultent in Domino,Exsultent in Domino sancti alleluia.,,6*,d ffg f f g fe f gh ihiggf fgh ghffed fghgh gf,LHym 274,"(c4)Ex(d)súl(f_0fg)tent(f') in(f) Dó(g)mi(fe)no(f) san(g_h)cti,(ixh_i/gg.f.) (;) al(f!gw!h>)le(ghffvED)lú(f!gwhgh>)ia.(g.f.) (::) Ve(f_h)ní(j)te,(j) (::)",0,MartTP,,274
Festivitatem Virginis,Festivitatem Virginis Mariæ celebremus: Christum eius filium adoremus Dominum.,,2,c cd d defd dc d fe fdedd cd defd dc d fe fgfe e g gh ihigh fe fg fed defdeddc f ed dggf ed efd cd d,LHym 255,"(f3)Fe(e)sti(ef)vi(f)tá(f/ghf)tem(fe) Vír(f)gi(hg)nis(hfgff) Ma(ef)rí(f/ghf)æ(f_e) ce(f)le(hg)bré(h_iHG)mus:(g.) (;) Chri(i)stum(ij) e(kxj/kij>)ius(hg) fí(hi)li(hv_GF)um(f/ghf/gffe.) (,) ad(h)o(gf)ré(fiih)mus(gf) Dó(ghf)mi(ef)num.(f.) (::z) Ve(f)ní(e)te,(f) (::)",0,BMV,,255
Fontem sapientiæ,Fontem sapientiæ Dominum venite adoremus.,,4,cdef e fe d ef g gh gf de efe dh hi h hgf g gfe e,LHym 301,"(c4)Fon(cdwefv)tem(e) sa(fe)pi(d)én(e_f)ti(g)æ(gh) Dó(gf)mi(de)num,(efe.) (;) ve(dh)ní(hi)te,(h) ad(hv_GF)o(g)ré(gv_FE)mus.(e.) (::) Ve(e)ní(g)te,(h) (::)",0,Doct,,301
- cum alleluia,Fontem sapientiæ Dominum venite adoremus alleluia.,,6*,ffg f f f f f gh h gf f f g fe f gh ihig gf fgh ghffed fghgh gf,LHym 301,"(c4)Fon(f_0fg)tem(f') sa(f)pi(f)én(f)ti(f)æ(gh) Dó(h)mi(gf)num,(f.) (,) ve(f)ní(g)te,(fe) ad(f)o(g_h)ré(ixh_i_g_)mus,(g.f.) (;) al(f!gw!h>)le(ghffvED)lú(fgwhgh>)ia.(g.f.) (::) Ve(f_h)ní(j)te,(j) (::)",0,Doct TP,,301
Hodie scietis,Hodie scietis quia veniet Dominus et mane videbitis gloriam eius.,"cf. Ex 16,6-7",E,dfe e e e ef e e f fd dfe fg g gfghgh hg ef g f fe d dc dfgddc eef fd f fg e,CAO 1084; LHym 10,"(f3)Hó(fhg)di(g)e(g') sci(g)é(gh)tis(g'_) (,) qui(g)a(hsss) vé(hf)ni(-fhg)et(hi~) Dó(i)mi(i_h_iwjij)nus,(j.i.) (;) et(g_h) ma(i)ne(h) vi(hg)dé(f)bi(fe)tis(fshssiffe.) (,) gló(ggoh)ri(hf)am(h) e(hi~)ius.(g.) (::) Ve(ggoh)ní(fg)te,(ffe) (::)",0,24/12,,10
Hodie si vocem,Hodie si vocem Domini audieritis nolite obdurare corda vestra.,"Ps 94,8",E,dfe e e e ef e e e f fd dfe f gfghgh hg ef g f e dc d dfgddc eefd f fg e,CAO 1085; LHym 52,"(f3)Hó(fhg)di(g)e,(g') si(g) vo(gh)cem(g'_) (,) Dó(g)mi(g)ni(hsss) au(hf~)di(-fhg)é(h)rí(i_h_iwjij)tis,(j.i.) (;) no(g_h)lí(i)te(h) ob(g)du(fe)rá(f)re(fshssiffe.) (,) cor(ggo/@hf~)da(h) ve(hi)stra.(g.) (::) Ve(ggoh)ní(fg)te,(ffe) (::)",0,Q,,52
